caldt,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
30mar1973,-.001092867,-.002088876,-.01354558,-.01588904,591285424,500,592245356,499,111.52,-.001432665
30apr1973,-.04006419,-.04123639,-.04887161,-.05066295,567244613,500,591285424,499,106.97,-.04079986
31may1973,-.0139499,-.0190021,-.04689459,-.05158461,563510443,500,574385710,500,104.95,-.0188838
29jun1973,-.00517758,-.006522127,-.02675092,-.0295483,559852115,500,563523110,500,104.26,-.006574559
31jul1973,.03912793,.03767948,.07420564,.07211465,580990000,500,559852115,500,108.22,.03798197
31aug1973,-.03154424,-.03650546,-.02042968,-.0253767,560143940,500,581398400,500,104.25,-.03668453
28sep1973,.0422186,.04103829,.09510218,.09273496,583169144,500,560143940,500,108.43,.04009592
31oct1973,.0003116323,-.001560226,.0003704322,-.002016422,582331588,500,583169144,500,108.29,-.001291156
30nov1973,-.1072204,-.1130455,-.1509223,-.1559193,517289633,500,583218586,500,95.95999999999999,-.1138609
31dec1973,.01797096,.01653401,.01021189,.006804422,526208833,500,517289633,500,97.55,.0165694
31jan1974,-.008120177,-.009749283,.07059421,.0683054,521083068,500,526208833,500,96.56999999999999,-.01004613
28feb1974,.001991611,-.003694865,.01525001,.01041864,518891052,500,520815373,500,96.22,-.003624314
29mar1974,-.02181845,-.02315417,-.02073863,-.02406338,507050428,500,518891052,500,93.98,-.02327998
30apr1974,-.03764881,-.03935947,-.05449127,-.05707305,487884371,500,507925941,499,90.31,-.03905086
31may1974,-.02689626,-.03312693,-.0620362,-.06764324,471498804,500,487616259,500,87.28,-.0335511
28jun1974,-.01281633,-.01458308,-.02842841,-.03231535,464425537,500,471411977,500,86,-.01466544
31jul1974,-.07669841,-.07850039,-.04801811,-.05082144,427967948,500,464425537,500,79.31,-.0777907
30aug1974,-.08217748,-.08973743,-.08852051,-.09529027,389555362,500,427967948,500,72.15000000000001,-.09027866
30sep1974,-.1175106,-.1195775,-.08048277,-.0850219,342825793,500,389387600,497,63.54,-.1193347
31oct1974,.1681128,.1648143,.1365433,.1325232,402894440,500,345629814,497,73.90000000000001,.1630469
29nov1974,-.04568807,-.05381598,-.04036614,-.04810444,382860515,500,402785522,498,69.97,-.05317997
31dec1974,-.01802145,-.02030511,-.03457823,-.03953351,375972948,500,382860515,498,68.56,-.02015149
31jan1975,.1236101,.1216982,.2312952,.2285452,422020102,500,375972948,499,76.98,.1228121
28feb1975,.06746006,.05949721,.04710138,.04046575,448872080,500,422667956,499,81.59,.05988568
31mar1975,.0240141,.02212189,.06862934,.06432479,463043916,500,448883998,500,83.36,.02169384
30apr1975,.04942431,.04729305,.04308642,.04060313,486177403,500,463000398,498,87.3,.04726487
30may1975,.05119332,.04479379,.05903813,.05310063,509362863,500,486164474,497,91.15000000000001,.0441008
30jun1975,.04622024,.04434164,.06403149,.06038584,532701443,500,509516563,498,95.19,.04432255
31jul1975,-.06550443,-.06755266,-.05476933,-.05704919,497053514,500,532678000,498,88.75,-.06765416
29aug1975,-.01566326,-.02173078,-.02815705,-.03328301,486677682,500,497389785,500,86.88,-.02107042
30sep1975,-.0322501,-.03422604,-.0355476,-.03922868,470272460,500,486628734,499,83.87,-.03464549
31oct1975,.06485469,.06213458,.04802021,.04494482,500766658,500,471147358,498,89.04000000000001,.06164302
28nov1975,.03008927,.02399618,.03528502,.03044555,513823885,500,500766658,498,91.23999999999999,.024708
31dec1975,-.01048495,-.01229648,-.002208848,-.00589128,509814701,500,515510822,497,90.19,-.01150811
30jan1976,.1201426,.1185449,.1602531,.1582499,572928167,500,511680944,499,100.86,.1183058
27feb1976,-.005756495,-.01161974,.03571125,.03124492,568326394,500,572778846,499,99.70999999999999,-.01140194
31mar1976,.03264027,.03078597,.0193185,.01583084,587396299,500,569156843,500,102.77,.030689
30apr1976,-.009609919,-.01069924,-.008644193,-.01048677,581613605,500,587396299,500,101.64,-.01099543
28may1976,-.008116335,-.01502572,-.0164608,-.02127812,574407346,500,581789258,500,100.18,-.01436442
30jun1976,.04395871,.04215843,.05409209,.05059439,599232313,500,574407346,500,104.28,.04092633
30jul1976,-.007201968,-.008453564,-.006056312,-.007535422,623800459,500,628853584,500,103.44,-.008055236
31aug1976,.001598956,-.004982146,-.01046566,-.01554338,621186189,500,623763543,498,102.91,-.005123743
30sep1976,.02442081,.0226695,.01987968,.01685003,636178589,500,621285071,497,105.24,.02264114
29oct1976,-.0202107,-.02199485,-.02406396,-.02609496,621508456,500,634504278,496,102.9,-.02223489
30nov1976,-.001041306,-.008628035,.02297633,.01739569,617346638,500,621508456,497,102.1,-.007774538
31dec1976,.05377466,.05217047,.07475128,.0719557,654696366,500,618575479,500,107.46,.05249755
31jan1977,-.04965418,-.05116714,-.03398672,-.03566332,622113511,500,654294471,500,102.03,-.05053043
28feb1977,-.01563846,-.02240022,-.01889429,-.02364544,609124012,500,621815892,499,99.81999999999999,-.0216603
31mar1977,-.01250225,-.01454772,.0007569428,-.002610443,601766122,500,609013347,499,98.42,-.01402525
29apr1977,.0006405998,-.000502689,.008244807,.006640867,602718249,500,601741133,498,98.44,.0002032107
31may1977,-.01506358,-.0235407,-.01398268,-.01974251,591411644,500,604361998,500,96.12,-.02356766
30jun1977,.04777556,.04570533,.05266586,.04949817,620052333,500,591604858,500,100.48,.04535997
29jul1977,-.01545347,-.01658949,-.01761418,-.01913895,610833966,500,620052333,500,98.84999999999999,-.01622213
31aug1977,-.01231035,-.02022068,-.01460648,-.02046378,599095754,500,610833966,500,96.77,-.02104198
30sep1977,-.0008254481,-.003083684,-.001939859,-.005207494,598206381,500,599095754,500,96.53,-.002480107
31oct1977,-.04198449,-.04386881,-.03729943,-.03947447,572127829,500,598120956,499,92.34,-.0434062
30nov1977,.03675163,.02695326,.06285992,.05631667,589218487,500,572753717,500,94.83,.02696556
30dec1977,.005569561,.003637417,.001322065,-.001857862,594481564,500,589218487,500,95.09999999999999,.0028472
31jan1978,-.06064264,-.06261064,-.05220256,-.05419646,556967829,500,594481564,500,89.25,-.0615142
28feb1978,-.01626045,-.02493815,-.01010615,-.01639996,543089174,500,556929640,499,87.04000000000001,-.0247619
31mar1978,.02692525,.0243557,.05285166,.04919467,556897077,500,543249852,500,89.20999999999999,.02493107
28apr1978,.0889641,.08759298,.08434609,.08259483,606128316,500,556989558,499,96.83,.08541644
31may1978,.01371858,.004435854,.0335846,.02703932,609584310,500,606760443,500,97.23999999999999,.004234225
30jun1978,-.01657784,-.01895287,-.01213792,-.01543908,599829769,500,609532320,499,95.53,-.01758536
31jul1978,.05697447,.05512147,.06151315,.05943232,633315847,500,599922948,500,100.68,.05390977
31aug1978,.03364056,.02556323,.05055553,.04474277,650678659,500,633960942,500,103.29,.02592372
29sep1978,-.005162818,-.007483037,-.008444898,-.01150646,646610977,500,650678659,500,102.54,-.00726111
31oct1978,-.08956996,-.09226924,-.1327076,-.1352575,592429103,500,652176264,499,93.15000000000001,-.09157402
30nov1978,.02677099,.01740014,.02872849,.02202711,604097848,500,592919172,499,94.7,.01663983
29dec1978,.0166265,.01426379,.009072529,.005321884,615931745,500,604102222,499,96.11,.01488912
31jan1979,.04269684,.04016067,.06873769,.06621137,641065799,500,615436980,496,99.93000000000001,.03974612
28feb1979,-.02864929,-.03695786,-.03059537,-.03674902,620259408,500,643455141,498,96.28,-.03652557
30mar1979,.05736068,.05482477,.07295195,.06910099,655684372,500,621342451,499,101.59,.05515164
30apr1979,.004183392,.002218194,.01073264,.0082842,657223904,500,655684372,500,101.76,.001673393
31may1979,-.01681758,-.02630284,-.01293204,-.01943868,641323529,500,657774872,500,99.08,-.02633648
29jun1979,.04032418,.03779167,.05177174,.04784025,665919027,500,640969679,499,102.91,.03865563
31jul1979,.01205096,.009736804,.02732377,.02476538,673727755,500,666967533,500,103.81,.008745505
31aug1979,.06186535,.05322217,.07189661,.06544217,710875678,500,673727755,500,109.32,.05307774
28sep1979,.001415792,-.0008719607,-.0009638594,-.003895523,710769041,500,710454638,499,109.32,0
31oct1979,-.06555984,-.06851736,-.09144403,-.09434342,662504340,500,710969681,500,101.82,-.06860593
30nov1979,.05277716,.04357043,.06580731,.05886746,693055996,500,662504340,500,106.16,.04262424
31dec1979,.01834045,.01589236,.04035211,.0363765,707416137,500,693104358,500,107.94,.01676714
31jan1980,.06130831,.05893501,.05877611,.05639481,750494264,500,708241165,500,114.16,.0576246
29feb1980,.002611116,-.005573667,-.0316328,-.0377657,747780101,500,751589950,500,113.66,-.004379818
31mar1980,-.0975184,-.100096,-.1057162,-.1098748,672127528,500,745613849,499,102.09,-.1017948
30apr1980,.04239384,.03987676,.04593875,.04313669,702410163,500,672309381,498,106.29,.04114017
30may1980,.05555994,.04665075,.08139615,.0745732,736800187,500,702410163,500,111.24,.0465707
30jun1980,.0297216,.02689508,.03273004,.02852895,756854493,500,736427437,499,114.24,.02696872
31jul1980,.06819995,.06563012,.09163626,.08908674,806826712,500,756854493,500,121.67,.06503852
29aug1980,.01345368,.006030361,.02690111,.02101556,812980237,500,807301092,500,122.38,.005835457
30sep1980,.02793479,.02515516,.02860006,.02488564,837757103,500,811538884,497,125.46,.02516751
31oct1980,.01780941,.01474248,.008989497,.00592295,849964314,500,837831548,498,127.47,.01602104
28nov1980,.1099104,.103015,.0646862,.05935867,941031406,500,850501540,498,140.52,.102377
31dec1980,-.0306342,-.03300576,-.01107826,-.01506583,919424016,500,942000789,500,135.76,-.03387418
30jan1981,-.04337039,-.04503574,-.01136405,-.01336618,878958424,500,919382392,499,129.55,-.04574249
27feb1981,.02126667,.01349164,.02819225,.02237892,892332358,500,880097963,500,131.27,.01327673
31mar1981,.03828499,.03542594,.08203393,.07786043,922348296,500,890072044,497,136,.03603261
30apr1981,-.02021101,-.02196691,.0006608466,-.001426823,904043755,500,920737117,496,132.81,-.02345588
29may1981,.006538728,-.001123944,.01705058,.01168825,905985939,500,907046869,499,132.59,-.001656502
30jun1981,-.00825513,-.01117979,-.008756608,-.0127672,900244202,500,907249007,500,131.21,-.01040802
31jul1981,.00071413,-.0009457822,-.01761809,-.01962587,901729014,500,899505512,498,130.92,-.002210198
31aug1981,-.05553978,-.06365895,-.06256942,-.06827412,845474331,500,899434311,496,122.79,-.06209899
30sep1981,-.05046571,-.05350026,-.05138027,-.05558017,799675022,500,843871369,498,116.18,-.05383174
30oct1981,.05211492,.04869402,.05878807,.05566063,839292684,500,799661527,500,121.89,.04914787
30nov1981,.0438269,.03591775,.04233834,.03624735,873879192,500,838994136,499,126.35,.03659037
31dec1981,-.02705885,-.02974479,-.01978922,-.02355728,851316511,500,872880097,500,122.55,-.03007519
29jan1982,-.01536702,-.01687443,-.019549,-.02149842,836871941,500,851260622,500,120.4,-.01754386
26feb1982,-.05044105,-.05958779,-.0366218,-.04284903,786717627,500,836824161,499,113.11,-.06054817
