permno,start,ending
16758,01mar1957,10jan1979
16803,01mar1957,08may1985
16816,07aug2017,31dec2018
16851,01sep2017,31dec2018
16870,01mar1957,29jun1998
16926,01mar1957,10jan1962
16969,01mar1957,15oct1975
17005,01mar1957,31dec2018
17013,01mar1957,03nov1965
17048,01mar1957,12jul1967
17056,01mar1957,16jan1963
17064,01mar1957,26apr1961
17099,01mar1957,07jun1961
17128,03oct1932,20aug1941
17128,01mar1957,07may1986
17137,08apr1982,31oct1995
17144,01mar1957,13mar1963
17144,13feb1969,31dec2018
17216,01mar1957,13jul1960
17232,20aug1941,30jun1950
17232,01mar1957,19jul1967
17267,13jul1967,18may1977
17278,13sep1983,26sep1994
17279,11jun2008,11jun2015
17291,01mar1957,26nov1986
17304,01mar1957,07jan1987
17312,01mar1957,02sep1964
17340,11dec1980,08feb1989
17398,01mar1957,25apr1962
17419,20aug1941,07jun1944
17435,23apr1970,11apr1984
17451,01mar1957,28jun1967
17478,01mar1957,31dec2018
17486,01mar1957,02aug1961
17515,01mar1957,22may1968
17558,01mar1957,27jul1979
17566,01mar1957,23nov1998
17582,01mar1957,28aug1963
17590,01mar1957,05aug1987
17603,01mar1957,26oct1960
17646,01mar1957,24jun1981
17654,01mar1957,27sep1967
17676,01may2018,01may2018
17689,01mar1957,15jan1964
17718,01mar1957,03apr1968
17726,01mar1957,08dec2000
17742,01mar1957,24feb1960
17750,01mar1957,31dec2018
17783,09may2018,09may2018
17806,01mar1957,19mar2007
17830,01mar1957,31dec2018
17849,07jun1944,26feb1947
17881,01mar1957,30jan1963
17929,01aug1929,06sep1951
17953,01mar1957,23apr1986
17961,04apr1968,02apr2001
18016,01mar1957,13nov2008
18032,01mar1957,12dec1995
18065,01oct2018,01oct2018
18067,01mar1957,30nov1995
18091,01mar1957,22apr1970
18092,23aug1990,11jul2007
18112,01mar1957,28jan2000
18142,29oct2018,29oct2018
18147,01mar1957,09apr1999
18163,01mar1957,31dec2018
18171,01mar1957,01apr1959
18198,20aug1941,07jun1944
18278,01mar1957,04dec1990
18315,01mar1957,15sep1982
18331,24sep1958,03may1978
18366,01mar1957,20sep1961
18374,02jan1958,01dec1999
18382,03jul1950,15apr2003
18390,21jun1961,06nov1968
18403,01mar1957,29nov2013
18411,07jun1944,31dec2018
18446,01mar1957,19may1995
18454,01mar1957,09aug1961
18542,20aug1941,20apr1954
18542,01mar1957,31dec2018
18550,01mar1957,04may1988
18551,13feb1991,06jan1997
18569,01mar1957,04may1988
18585,01mar1957,14dec1960
18649,03jul1957,19jan1996
18681,01mar1957,13mar1963
18681,20feb1964,11dec2002
18729,01mar1957,31dec2018
18825,01mar1957,14jan1976
18841,01mar1957,03apr1968
18868,07jun1944,26feb1947
18884,01mar1957,16jun1982
18921,01mar1957,04may2000
18948,01mar1957,06dec1996
18980,01mar1957,30jun1976
18999,01mar1957,15dec1989
19019,07jun1944,30jun1950
19019,01mar1957,12sep1983
19027,07jun1944,25feb1987
19051,01mar1979,21jul1999
19107,01mar1957,19feb1964
19131,20aug1941,07feb1992
19166,20feb1964,31dec2001
19166,19aug2009,31dec2018
19174,01mar1957,18aug1971
19203,20aug1941,26feb1947
19203,01mar1957,26apr1967
19211,01mar1957,06nov1968
19238,01mar1957,17apr1985
19254,01mar1957,30sep1998
19270,01mar1957,12apr1967
19297,01mar1957,23jun1982
19334,01mar1957,01oct1980
19350,01mar1957,31dec2018
19377,01mar1957,30jun1998
19385,07jun1944,10sep1968
19393,01mar1957,31dec2018
19414,05oct1967,29feb1984
19430,01mar1957,30may1973
19502,11oct1979,31dec2018
19510,01mar1957,13sep1972
19537,31dec1925,19sep1991
19553,01mar1957,31dec1998
19561,01mar1957,31dec2018
19589,22may1991,17aug1995
19596,20aug1941,12jul1994
19617,01mar1957,30jun1976
19625,01mar1957,21jun1961
19668,01mar1957,06jan1965
19684,01mar1957,06aug1969
19692,01mar1957,16nov2000
19713,01mar1957,15aug1984
19721,24aug1989,15aug1996
19756,01mar1957,14jan1976
19764,01mar1957,03nov1965
19764,06jan1966,18mar1970
19772,01mar1957,18may1966
19828,01mar1957,08nov1967
19836,01mar1957,21jun1961
19844,01mar1957,17may1967
19879,04dec1957,19jul1978
19887,01mar1957,06oct1982
19895,01mar1957,29jan2002
19916,01mar1957,08dec2000
19932,01mar1957,06aug1968
19940,01mar1957,09apr1980
19959,01mar1957,09apr1958
19967,01mar1957,24oct1962
20001,01mar1957,18nov1970
20036,01mar1957,21feb1967
20053,28nov1997,31dec2007
20079,01mar1957,21may1991
20095,01mar1957,08dec1976
20108,01mar1957,19jun1957
20124,01mar1957,28mar2003
20167,01mar1957,16jan1980
20204,01mar1957,17dec2004
20220,15jan1976,12mar2010
20239,01mar1957,30nov1983
20263,01mar1957,08may1985
20298,01mar1957,13may1964
20343,18jul1968,13apr1988
20386,01mar1957,16may1984
20394,01mar1973,30sep1996
20407,01mar1957,31aug1983
20415,06sep1961,18sep1963
20415,03jul1969,30jun1976
20415,27aug2007,31dec2018
20431,01mar1957,02jul1969
20474,13oct1966,08may1974
20482,01mar1957,31dec2018
20503,19jun1957,29sep1965
20511,01mar1957,13jan1965
20554,01mar1957,09apr1958
20562,01mar1957,15mar1995
20570,01mar1957,07may1986
20626,20apr1954,31aug2017
20650,01mar1957,12mar1958
20677,01mar1957,09sep1987
20714,01mar1957,19feb1964
20730,01mar1957,24nov1995
20810,01mar1957,31dec1957
20853,20aug1941,20oct2000
20896,21aug1957,06jul1983
20909,09apr1958,01oct1986
20976,01mar1957,30jun1976
20984,01mar1957,09jan1991
20992,09apr1958,05feb1975
21004,01mar1957,30jun2000
21020,07jun1944,13mar2003
21020,23mar2015,31dec2018
21055,01mar1957,30sep1994
21119,01mar1957,06may1987
21151,01mar1957,14dec1960
21178,01mar1957,10dec1975
21178,19jul1984,31dec2018
21186,01mar1957,31dec2018
21194,23apr1958,30jun1976
21207,15may1969,31dec2018
21223,04jun1958,16dec1959
21231,01mar1957,30jun1976
21266,09apr1958,19jul1967
21274,27apr1967,15apr1994
21282,01mar1973,30jun1976
21290,01mar1957,29jan1964
21290,05mar1987,28jun1989
21303,01mar1957,18jul1984
21338,23jan1964,14nov1973
21346,01mar1957,04oct1978
21370,01mar1945,30jun1976
21371,27may1997,31dec2018
21397,23apr1970,16jun2000
21418,01mar1957,10sep1968
21426,01mar1957,06dec1961
21434,01mar1957,10sep1968
21450,15oct1981,01jul1987
21469,04jun1958,14dec1966
21485,15jan1976,26jul1989
21514,01mar1957,25oct1999
21522,01mar1957,22oct1986
21530,01mar1957,22apr1970
21549,01mar1957,04sep1963
21557,01mar1957,24jun1987
21573,31dec1925,31dec2018
21645,01mar1957,12feb1965
21688,01mar1957,25feb1959
21709,11jan1961,03oct1984
21768,01mar1957,20jun1984
21776,07jun1944,31dec2018
21784,01mar1957,20apr1960
21792,25jul1985,31dec2018
21821,01mar1957,28jan2000
21872,01mar1957,21aug1957
21901,01mar1957,06jan1965
21928,15dec1966,30jun1976
21936,01mar1957,31dec2018
21979,01mar1957,08sep2009
21979,23nov2011,30nov2012
21995,01mar1957,04jun1958
21995,24nov1978,31jul1985
22007,01mar1957,02may1979
22015,01mar1957,08feb1961
22023,01mar1957,02jul1992
22032,20dec2004,06sep2007
22066,04dec1986,30nov2001
22074,01mar1957,16jun1965
22082,01mar1957,18jun1997
22103,07jan1965,31dec2018
22111,31may1973,31dec2018
22138,05mar1970,30jun1976
22170,21aug1957,25mar1959
22170,02jul1987,15jun1988
22189,13aug1970,30jun1976
22218,04jun1958,14dec1966
22218,01feb1968,30jun1976
22242,01mar1957,25may1966
22250,03may1979,26may1995
22293,01mar1957,31dec2018
22306,01mar1957,13oct1965
22330,01mar1957,05mar1969
22365,31oct1963,03mar1965
22381,01mar1957,04sep1963
22402,23jun1953,18feb1972
22410,04jun1958,14dec1966
22410,29jun1967,05nov1980
22429,01mar1957,30may1973
22461,01mar1957,22apr1970
22488,01mar1957,10apr1974
22496,01mar1957,30jun1976
22496,22jun1999,30nov2000
22509,01mar1957,31dec2018
22517,27nov1995,31dec2018
22533,14dec1960,25jul1979
22541,01mar1957,30jun1976
22541,09feb1995,06nov2001
22568,07aug1969,05oct1988
22592,01mar1957,31dec2018
22613,15dec1966,30jun1976
22613,03nov1998,18aug2000
22621,01mar1957,29jul1959
22648,01mar1957,29feb1984
22680,20apr1954,28jun2000
22699,01mar1957,16jun1965
22728,01mar1957,13nov1985
22752,01mar1957,31dec2018
22753,12feb1987,07apr1998
22760,01mar1957,13jul1988
22779,01mar1957,31dec2018
22787,01mar1957,18mar1970
22808,01mar1957,17jan1968
22840,10sep1981,28jun2012
22859,26feb1947,30jun1976
22875,01mar1957,14feb1962
22891,01mar1957,08dec1976
22891,17jun1982,13aug1998
22920,31jan1963,28feb1973
22939,12sep1968,14may1969
22947,26feb1947,30jun1976
22947,25oct1994,31mar2006
23018,01mar1957,16oct1974
23026,10jul1957,31dec2018
23050,01mar1957,30jun1982
23077,01mar1957,06jun2013
23085,02jan2009,31dec2018
23114,24aug1989,29jun2012
23130,22jun1953,04jun1958
23130,16dec1959,10dec1980
23165,01mar1957,23mar1960
23173,01mar1957,04dec1957
23210,16jul1947,30jun1976
23229,26feb1947,30jun1976
23229,03may1999,31dec2018
23237,01mar1957,16dec1970
23253,01feb1962,16oct1974
23253,21oct1982,13aug1990
23288,14mar1963,15jul1964
23296,01mar1957,17may1967
23309,23apr1970,24oct2007
23317,06sep1951,29nov2001
23318,24nov2000,19apr2006
23325,01mar1957,21nov1984
23341,01mar1957,26sep1994
23384,01mar1957,03mar1965
23393,29dec2015,31dec2018
23421,03jul1950,11may1988
23448,01mar1957,19may1983
23456,01mar1957,17jan1968
23464,01mar1957,09dec1981
23473,18dec1997,31dec2018
23480,04jan1968,30jul1968
23499,01mar1957,30nov1983
23501,09nov2007,29mar2016
23528,01mar1957,26mar1969
23536,19feb1958,30nov1983
23536,31oct2008,31dec2018
23552,17jan1963,05apr1994
23579,17oct1963,22apr1970
23579,05oct1978,31dec2018
23587,22jun1953,27sep1972
23616,03feb1960,06sep1961
23660,01mar2001,31dec2018
23675,22jun1953,04jun1958
23683,01mar1957,11jun1975
23712,07jul1948,31dec2018
23720,01mar1957,30jun1976
23747,01mar1957,21aug1957
23800,07jan1965,08dec1976
23819,01mar1957,31dec2018
23851,01mar1957,15jun2000
23878,07jun1961,03apr1968
23886,01mar1957,30may1973
23887,27feb2001,17mar2017
23894,01mar1957,10dec1975
23907,01mar1957,19feb1964
23915,20feb1964,19dec2005
23931,06jul1949,31dec2018
23990,16sep1982,01apr2009
24002,01mar1957,30jun1976
24010,01mar1957,31dec2018
24037,01mar1957,13jan1982
24046,02sep1997,30jul2008
24053,05jun2018,31dec2018
24061,06sep1951,14dec1966
24088,01mar1957,30jun1976
24096,01mar1957,30jun1976
24109,06sep1951,31dec2018
24141,01mar1957,22may1985
24176,01mar1957,05oct1966
24184,01mar1957,31jan2002
24192,01jul1976,24oct1994
24205,01jul1976,31dec2018
24221,06jan1930,16nov1931
24221,01mar1957,13mar2012
24264,01mar1957,19jul2002
24272,03aug1989,13nov2008
24328,01mar1957,30jun1976
24328,19dec2008,12nov2018
24336,01mar1957,03mar1976
24360,21aug2000,24aug2007
24387,24feb1960,16jun1965
24459,01mar1957,28feb2017
24504,01mar1957,30jul1968
24539,01mar1957,02aug2001
24555,01mar1957,06oct1982
24563,01mar1957,09oct2007
24571,01mar1957,08dec1982
24619,01mar1957,14dec1960
24627,07jun1954,11sep1974
24627,24aug1978,29dec1982
24635,01mar1957,02nov1988
24643,01mar1957,31dec2018
24651,13jun1968,30jun1976
24678,01mar1957,20jun2000
24707,01mar1957,11apr1984
24715,04oct1984,30mar1995
24766,13jun1985,31dec2018
24803,01mar1957,02dec2004
24811,01mar1957,29sep2000
24854,01mar1957,12apr1978
24889,07feb1962,03jan1968
24942,01mar1957,31dec2018
24985,15dec1966,30jun1976
24985,20sep1991,31dec2018
24993,01mar1957,26feb1964
25005,01mar1957,27sep1996
25013,01mar1957,03nov2009
25022,08oct1987,10dec1993
25056,01mar1957,05aug1997
25072,01mar1957,30jun1976
25081,01dec1995,31dec2018
25099,22feb2007,30jun2015
25128,01mar1957,06jan1965
25136,01mar1957,19feb1958
25144,15dec1966,30jun1976
25160,07feb1985,06mar1990
25179,11jun1958,11jan1961
25187,01mar1957,25oct1961
25195,01mar1957,22sep1976
25216,26jul1979,10apr1985
25232,01mar1957,29aug2001
25232,15mar2010,31dec2018
